"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-01","40","42","35"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-02","40","49","34"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-03","47","49","45"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-04","47","50","41"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-05","40","41","36"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-06","37","44","32"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-07","41","44","35"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-08","36","43","28"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-09","29","34","24"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-10","40","53","33"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-11","55","66","48"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-12","60","67","44"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-13","43","45","37"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-14","41","44","39"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-15","44","50","42"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-16","45","50","34"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-17","29","34","21"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-18","24","37","20"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-19","39","43","28"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-20","27","32","21"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-21","26","33","21"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-22","31","39","26"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-23","38","46","30"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-24","41","46","33"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-25","41","52","38"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-26","43","46","39"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-27","40","45","38"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-28","40","42","37"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-29","36","40","31"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-30","31","35","25"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-01-31","36","42","33"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02-01","39","42","37"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02-02","39","43","35"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02-03","44","56","37"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02-04","46","58","39"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02-05","44","53","38"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02-06","38","41","35"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02-07","40","58","33"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02-08","34","40","30"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02-09","35","42","30"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02-10","43","47","42"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02-11","44","48","42"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02-12","42","45","37"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02-13","39","44","36"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02-14","35","40","19"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02-15","22","30","15"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02-16","34","44","29"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02-17","43","51","38"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02-18","41","47","37"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02-19","44","48","33"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02-20","33","35","27"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02-21","28","36","21"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02-22","38","50","32"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02-23","47","56","36"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02-24","49","61","41"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02-25","49","51","44"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02-26","45","49","42"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02-27","43","45","32"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02-28","35","42","30"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-02-29","34","36","27"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-03-01","32","44","26"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-03-02","45","56","38"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-03-03","53","59","49"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-03-04","51","57","46"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-03-05","46","52","40"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-03-06","42","45","38"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-03-07","41","47","36"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-03-08","45","60","37"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-03-09","58","72","46"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-03-10","61","67","55"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-03-11","53","56","44"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-03-12","46","50","41"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-03-13","53","70","43"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-03-14","51","55","44"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-03-15","47","54","41"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-03-16","40","43","33"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-03-17","45","55","42"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-03-18","49","53","44"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-03-19","46","52","42"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-03-20","55","78","47"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-03-21","54","65","41"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-03-22","40","44","34"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-03-23","39","42","37"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-03-24","43","54","37"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-03-25","44","45","41"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-03-26","46","59","39"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-03-27","56","68","50"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-03-28","49","51","45"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-03-29","45","48","45"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-03-30","46","50","42"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-03-31","45","49","41"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-04-01","45","55","38"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-04-02","49","58","40"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-04-03","50","52","46"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-04-04","52","60","46"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-04-05","52","64","47"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-04-06","55","66","48"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-04-07","58","66","53"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-04-08","55","63","49"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-04-09","52","58","44"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-04-10","45","49","39"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-04-11","46","56","40"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-04-12","53","62","43"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-04-13","57","69","53"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-04-14","56","60","48"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-04-15","49","53","43"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-04-16","47","49","40"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-04-17","44","51","39"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-04-18","44","47","42"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-04-19","50","63","42"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-04-20","54","57","49"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-04-21","52","60","41"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-04-22","44","51","38"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-04-23","45","50","41"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-04-24","47","50","43"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-04-25","52","64","43"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-04-26","49","50","43"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-04-27","45","49","40"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-04-28","51","66","43"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-04-29","51","57","46"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-04-30","55","63","49"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-05-01","58","66","55"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-05-02","62","73","53"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-05-03","67","81","55"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-05-04","67","72","51"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-05-05","54","64","47"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-05-06","52","52","47"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-05-07","55","67","49"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-05-08","53","58","38"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-05-09","42","49","36"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-05-10","50","65","41"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-05-11","56","61","46"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-05-12","51","60","45"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-05-13","52","64","43"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-05-14","57","65","48"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-05-15","70","86","58"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-05-16","72","77","59"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-05-17","61","68","55"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-05-18","59","67","55"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-05-19","60","69","54"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-05-20","57","65","50"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-05-21","56","67","48"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-05-22","64","77","56"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-05-23","63","67","56"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-05-24","59","69","52"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-05-25","60","67","56"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-05-26","65","77","58"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-05-27","67","78","60"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-05-28","68","76","64"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-05-29","72","82","65"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-05-30","73","84","66"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-05-31","67","71","58"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-06-01","62","72","54"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-06-02","68","76","63"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-06-03","73","82","63"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-06-04","77","88","69"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-06-05","75","83","69"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-06-06","77","90","69"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-06-07","73","78","65"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-06-08","71","81","63"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-06-09","79","91","68"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-06-10","78","85","69"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-06-11","74","83","70"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-06-12","78","88","70"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-06-13","71","77","60"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-06-14","65","75","55"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-06-15","68","77","62"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-06-16","70","80","63"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-06-17","70","79","63"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-06-18","70","78","65"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-06-19","74","86","67"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-06-20","78","88","72"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-06-21","79","88","73"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-06-22","82","93","75"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-06-23","81","87","76"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-06-24","80","89","76"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-06-25","81","89","74"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-06-26","80","90","73"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-06-27","80","85","73"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-06-28","82","93","72"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-06-29","79","89","72"
"USW00014732","LAGUARDIA AIRPORT, NY US","2020-06-30","74","81","70"
